LightEngine Log - 2026-06-17 17:48:16
------------------------------------------------------------
[17:48:16] INIT: LightEngine v4.0.0 started
[17:48:16] WEATHER: Weather initialized: fog (20 particles)
[17:48:53] BOT_ALERT: Bot#1 spotted player at (16.2,16.1)
[17:48:55] BOT_INVESTIGATE: Bot#1 investigating last known position
[17:48:57] PLAYER: Light OFF
[17:51:19] BOT_ALERT: Bot#0 spotted player at (2.4,10.7)
[17:51:19] BOT_ALERT: Bot#0 spotted player at (2.4,10.8)
[17:51:19] BOT_ALERT: Bot#0 spotted player at (2.4,10.9)
[17:51:19] BOT_ALERT: Bot#0 spotted player at (2.4,11.1)
[17:51:19] BOT_ALERT: Bot#0 spotted player at (2.4,11.2)
[17:51:19] BOT_ALERT: Bot#0 spotted player at (2.4,11.3)
[17:51:19] BOT_ALERT: Bot#0 spotted player at (2.4,11.5)
[17:51:19] BOT_ALERT: Bot#0 spotted player at (2.4,11.6)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (2.4,11.7)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (2.4,11.8)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (2.4,11.9)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (2.4,12.1)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (2.4,12.2)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (2.4,12.2)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (2.4,12.2)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (2.4,12.2)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (2.4,12.2)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (2.4,12.2)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (2.4,12.2)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (2.4,12.1)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (2.4,11.9)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (2.4,11.8)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (2.5,11.7)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (2.6,11.6)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (2.6,11.5)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (2.7,11.4)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (2.8,11.4)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (2.9,11.3)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (3.0,11.2)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (3.1,11.1)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (3.2,11.0)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (3.3,10.9)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (3.4,10.8)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (3.5,10.7)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (3.6,10.6)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (3.7,10.5)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (3.8,10.5)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (3.9,10.5)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (4.0,10.5)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (4.2,10.5)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (4.3,10.5)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (4.3,10.5)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (4.3,10.5)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (4.3,10.5)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (4.3,10.5)
[17:51:20] BOT_ALERT: Bot#0 spotted player at (4.3,10.5)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (4.3,10.5)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (4.3,10.5)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (4.3,10.5)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (4.3,10.5)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (4.4,10.5)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (4.6,10.5)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (4.7,10.5)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (4.8,10.5)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (4.9,10.5)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (5.0,10.4)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (5.1,10.4)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (5.2,10.3)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (5.3,10.2)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (5.3,10.1)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (5.5,10.0)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (5.5,9.9)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (5.7,9.7)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (5.8,9.6)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (5.9,9.6)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (6.0,9.5)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (6.1,9.4)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (6.2,9.3)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (6.3,9.2)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (6.3,9.1)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (6.4,9.0)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (6.5,8.9)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (6.6,8.8)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (6.7,8.8)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (6.8,8.7)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (6.9,8.6)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (6.9,8.5)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (7.0,8.4)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (7.1,8.3)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (7.2,8.2)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (7.3,8.1)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (7.4,8.1)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (7.5,7.9)
[17:51:21] BOT_ALERT: Bot#0 spotted player at (7.6,7.8)
[17:51:22] BOT_ALERT: Bot#0 spotted player at (7.7,7.8)
[17:51:22] BOT_ALERT: Bot#0 spotted player at (7.9,7.8)
[17:51:22] BOT_ALERT: Bot#0 spotted player at (8.0,7.8)
[17:51:22] BOT_ALERT: Bot#0 spotted player at (8.1,7.8)
[17:51:22] BOT_ALERT: Bot#0 spotted player at (8.2,7.8)
[17:51:22] BOT_ALERT: Bot#0 spotted player at (8.4,7.8)
[17:51:22] BOT_ALERT: Bot#0 spotted player at (8.5,7.8)
[17:51:22] BOT_ALERT: Bot#0 spotted player at (8.6,7.8)
[17:51:22] BOT_ALERT: Bot#0 spotted player at (8.7,7.8)
[17:51:22] BOT_ALERT: Bot#0 spotted player at (8.9,7.8)
[17:51:22] BOT_ALERT: Bot#0 spotted player at (9.0,7.8)
[17:51:22] BOT_ALERT: Bot#0 spotted player at (9.1,7.8)
[17:51:22] BOT_ALERT: Bot#0 spotted player at (9.2,7.8)
[17:51:22] BOT_ALERT: Bot#0 spotted player at (9.9,7.8)
[17:51:22] BOT_ALERT: Bot#0 spotted player at (9.8,7.8)
[17:51:22] BOT_ALERT: Bot#0 spotted player at (9.6,7.8)
[17:51:22] BOT_ALERT: Bot#0 spotted player at (9.5,7.7)
[17:51:22] BOT_ALERT: Bot#0 spotted player at (9.4,7.6)
[17:51:22] BOT_ALERT: Bot#0 spotted player at (9.3,7.5)
[17:51:22] BOT_ALERT: Bot#0 spotted player at (9.2,7.4)
[17:51:22] BOT_ALERT: Bot#0 spotted player at (9.1,7.3)
[17:51:22] BOT_ALERT: Bot#0 spotted player at (9.0,7.2)
[17:51:22] BOT_ALERT: Bot#0 spotted player at (8.9,7.1)
[17:51:22] BOT_ALERT: Bot#0 spotted player at (8.8,7.0)
[17:51:22] BOT_ALERT: Bot#0 spotted player at (8.8,7.0)
[17:51:22] BOT_ALERT: Bot#0 spotted player at (8.7,6.9)
[17:51:22] BOT_ALERT: Bot#0 spotted player at (8.6,6.8)
[17:51:22] BOT_ALERT: Bot#0 spotted player at (8.5,6.7)
[17:51:22] BOT_ALERT: Bot#0 spotted player at (8.4,6.6)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (8.3,6.5)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (8.2,6.4)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (8.0,6.2)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (8.0,6.2)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (7.9,6.1)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (7.8,6.0)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (7.7,5.9)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (7.6,5.8)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (7.5,5.7)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (7.4,5.6)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (7.3,5.5)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (7.2,5.4)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (7.1,5.3)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (7.0,5.2)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (7.0,5.2)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (6.9,5.1)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (6.8,5.0)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (6.7,4.9)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (6.6,4.8)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (6.4,4.6)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (6.3,4.5)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (6.2,4.4)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (6.2,4.3)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (6.2,4.2)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (6.2,4.1)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (6.2,3.9)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (6.2,3.8)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (6.2,3.7)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (6.2,3.7)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (6.1,3.7)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (6.0,3.7)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (5.8,3.7)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (5.7,3.7)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (5.6,3.7)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (5.5,3.7)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (5.3,3.7)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (5.2,3.7)
[17:51:23] BOT_ALERT: Bot#0 spotted player at (5.1,3.7)
[17:51:24] BOT_ALERT: Bot#0 spotted player at (4.4,3.8)
[17:51:24] BOT_ALERT: Bot#0 spotted player at (4.4,3.9)
[17:51:24] BOT_ALERT: Bot#0 spotted player at (4.2,4.0)
[17:51:24] BOT_ALERT: Bot#0 spotted player at (4.1,4.1)
[17:51:24] BOT_ALERT: Bot#0 spotted player at (4.1,4.2)
[17:51:24] BOT_ALERT: Bot#0 spotted player at (4.0,4.3)
[17:51:24] BOT_ALERT: Bot#0 spotted player at (3.9,4.3)
[17:51:24] BOT_ALERT: Bot#0 spotted player at (3.8,4.4)
[17:51:24] BOT_ALERT: Bot#0 spotted player at (3.7,4.5)
[17:51:24] BOT_ALERT: Bot#0 spotted player at (3.6,4.6)
[17:51:24] BOT_ALERT: Bot#0 spotted player at (3.5,4.7)
[17:51:24] BOT_ALERT: Bot#0 spotted player at (3.4,4.8)
[17:51:24] BOT_ALERT: Bot#0 spotted player at (3.3,4.9)
[17:51:24] BOT_ALERT: Bot#0 spotted player at (3.2,5.0)
[17:51:24] BOT_ALERT: Bot#0 spotted player at (3.1,5.1)
